mij_mii,mij
.0000254,.0000167
1,.6580285
.5128028,.3374389
.0001904,.0001253
.0007807,.0005137
.0000127,8.35e-06
.0001206,.0000794
.0001777,.000117
.0011362,.0007476
8.90e-06,5.85e-06
.0001206,.0000794
6.95e-06,4.57e-06
6.35e-06,4.18e-06
.000019,.0000125
.0001206,.0000794
.0000317,.0000209
.0001841,.0001211
.0003237,.000213
.0002349,.0001545
9.84e-06,6.47e-06
6.35e-06,4.18e-06
.0000254,.0000167
.0001777,.000117
.0000889,.0000585
.000146,.0000961
3.96e-06,2.61e-06
6.35e-06,4.18e-06
6.35e-06,4.18e-06
.0000635,.0000418
4.48e-06,2.95e-06
.0000123,8.11e-06
4.30e-06,2.83e-06
.0000317,.0000209
.000019,.0000125
.0001587,.0001044
.000014,9.24e-06
.0003428,.0002255
6.35e-06,4.18e-06
.0000381,.0000251
6.61e-06,4.35e-06
.0000698,.0000459
.0000508,.0000334
.0001269,.0000835
2.67e-06,1.76e-06
.0000317,.0000209
6.35e-06,4.18e-06
.0000508,.0000334
.000019,.0000125
.0004888,.0003216
.0000413,.0000271
.0002602,.0001712
.0000214,.00002
.0001111,.0001041
4.91e-06,4.60e-06
.0006791,.000636
.0000247,.0000231
.0002963,.0002775
.0000247,.0000231
.0003087,.0002891
.0000123,.0000116
.000037,.0000347
.0580537,.0543745
1,.9366236
.0000247,.0000231
.0010495,.0009829
.0000324,.0000303
.0003087,.0002891
.0000617,.0000578
.0006544,.0006129
.0000123,.0000116
.0001111,.0001041
.0000123,.0000116
.000037,.0000347
.0000137,.0000129
.0001729,.0001619
.0000123,.0000116
.0004815,.000451
.0000617,.0000578
.0006173,.0005782
.0000138,.0000129
.0001111,.0001041
.0000247,.0000231
.0004568,.0004279
.0000926,.0000867
.0002099,.0001966
5.56e-06,5.21e-06
.0000617,.0000578
.0000115,.0000108
.0002469,.0002313
6.29e-06,5.89e-06
.0000247,.0000231
6.03e-06,5.65e-06
.000037,.0000347
.0000316,.0000296
.0001729,.0001619
.0000197,.0000185
.0007655,.000717
7.73e-06,7.24e-06
.0001852,.0001735
9.28e-06,8.69e-06
.0000988,.0000925
.0000123,.0000116
.0004568,.0004279
3.75e-06,3.51e-06
.0000494,.0000463
.0000247,.0000231
.0000617,.0000578
.0000623,.0000584
.0007408,.0006938
.0000579,.0000543
.0003581,.0003354
.0000329,.0000275
.0000219,.0000183
5.48e-06,4.59e-06
.0000767,.0000642
.0000548,.0000459
.0000493,.0000413
.0002795,.0002339
.0005536,.0004632
.000011,9.17e-06
.000054,.0000452
.0089669,.0075024
.0813597,.0680715
1,.8366737
.0985262,.0824343
.0000822,.0000688
.0002521,.0002109
.0007345,.0006145
.0006468,.0005411
.0001809,.0001513
.0000713,.0000596
7.66e-06,6.41e-06
.0000244,.0000205
.0000329,.0000275
.0000493,.0000413
5.48e-06,4.59e-06
.0000548,.0000459
.0000548,.0000459
.0001261,.0001055
.0000123,.0000103
.0000446,.0000373
.0001589,.000133
.0001754,.0001467
.0000274,.0000229
.0000658,.000055
5.48e-06,4.59e-06
.0000168,.0000141
.000011,9.17e-06
.0000515,.0000431
7.53e-06,6.30e-06
.0000207,.0000173
8.20e-06,6.86e-06
.0000303,.0000253
.0000658,.000055
.0000164,.0000138
.0000164,.0000138
.0001096,.0000917
.000011,9.17e-06
.0000384,.0000321
.0000274,.0000229
.000011,9.17e-06
.0000274,.0000229
.0000548,.0000459
5.48e-06,4.59e-06
.000011,9.17e-06
.0000164,.0000138
.0000329,.0000275
.0000822,.0000688
.0005043,.0004219
.0001535,.0001284
.0010743,.0008988
.0000135,.0000121
.0000401,.0000359
4.08e-06,3.65e-06
.000483,.0004324
.000048,.000043
.0001208,.0001081
.0000302,.000027
.0000906,.0000811
.0000121,.0000108
.0000531,.0000476
.000483,.0004324
.0273208,.0244585
.0822943,.0736728
1,.8952355
.0000604,.0000541
.0014189,.0012702
.0000302,.000027
.0006038,.0005405
.0000604,.0000541
.0000604,.0000541
7.53e-06,6.74e-06
.000024,.0000215
.0000116,.0000104
.0002113,.0001892
.0000302,.000027
.0002717,.0002432
.0000302,.000027
.0002415,.0002162
.0000121,.0000108
.0000438,.0000392
.0000302,.000027
.0004528,.0004054
.0000366,.0000328
.0000906,.0000811
4.19e-06,3.75e-06
.0000302,.000027
8.59e-06,7.69e-06
.0000506,.0000453
7.40e-06,6.63e-06
.0000204,.0000182
8.06e-06,7.21e-06
.0000297,.0000266
.0000302,.000027
.0000906,.0000811
9.94e-06,8.90e-06
.0003019,.0002703
9.13e-06,8.17e-06
.0000604,.0000541
.0000302,.000027
.0000435,.0000389
.0000302,.000027
.0002717,.0002432
3.01e-06,2.69e-06
.0000276,.0000247
.000058,.0000519
.0000302,.000027
.0001208,.0001081
.0007547,.0006756
.0000604,.0000541
.0002113,.0001892
.0003403,.0002978
.0000785,.0000687
.0000131,.0000115
.0002487,.0002176
.0008506,.0007444
.0004384,.0003837
.0006871,.0006013
.0048225,.0042205
.0000621,.0000544
.0000196,.0000172
.0017013,.0014889
.0270113,.0236391
.0005758,.0005039
.0006805,.0005956
1,.8751566
.0762244,.0667083
.0000523,.0000458
.0000982,.0000859
.000301,.0002634
.000144,.000126
.0000185,.0000162
.0000131,.0000115
.0002356,.0002062
.0000523,.0000458
.0000523,.0000458
.0001767,.0001546
.0002617,.0002291
.0001701,.0001489
.0000327,.0000286
.0000131,.0000115
.0024472,.0021417
.0026108,.0022849
.0002552,.0002233
.0002487,.0002176
.0000103,9.00e-06
6.54e-06,5.73e-06
.0000262,.0000229
.0000393,.0000344
.0000335,.0000293
6.54e-06,5.73e-06
.000039,.0000342
.0000327,.0000286
.0003337,.0002921
.0001112,.0000974
.0000982,.0000859
.0009619,.0008418
.0000452,.0000396
6.54e-06,5.73e-06
.0001832,.0001603
.0001767,.0001546
.0004188,.0003665
.0001112,.0000974
.0000327,.0000286
.0000523,.0000458
.0000393,.0000344
.0000916,.0000802
.0007263,.0006356
.0050254,.004398
.0012236,.0010709
.0118829,.0103994
.0000479,.0000434
.0000958,.0000868
.000012,.0000108
.0009584,.0008681
.0001917,.0001736
.000575,.0005209
.0000958,.0000868
.0015334,.001389
.0000621,.0000562
.0000958,.0000868
.0001438,.0001302
.0153824,.0139332
.0004205,.0003809
.0013418,.0012154
.0652195,.0590749
1,.9057865
.0000958,.0000868
.000575,.0005209
.0000308,.0000279
.0003354,.0003038
.0000185,.0000167
.000059,.0000535
.0000376,.000034
.0002396,.000217
.000102,.0000923
.0003834,.0003472
.0000958,.0000868
.0007188,.0006511
.0000356,.0000322
.0000479,.0000434
.0002875,.0002604
.0020606,.0018664
.0000546,.0000495
.0001917,.0001736
.0000103,9.31e-06
.0000479,.0000434
.0000217,.0000196
.0003354,.0003038
.0000334,.0000303
.0000958,.0000868
.000039,.0000353
.000144,.0001305
.0001438,.0001302
.0004313,.0003906
.0000479,.0000434
.0014855,.0013456
.0000452,.0000409
.0000958,.0000868
.0000958,.0000868
.0001545,.0001399
.0001438,.0001302
.001821,.0016494
8.55e-06,7.74e-06
.0000785,.0000711
.0000958,.0000868
.0000958,.0000868
.0000479,.0000434
.0050316,.0045576
.0000958,.0000868
.001821,.0016494
7.29e-06,6.28e-06
.0000217,.0000187
2.60e-06,2.24e-06
.0000444,.0000383
.0000146,.0000126
.0000601,.0000518
.0000444,.0000383
.0001777,.0001531
6.38e-06,5.49e-06
.000028,.0000241
.0021326,.0018371
.0143949,.0124002
.0001333,.0001148
.0002221,.0001914
.0000252,.0000217
.0000444,.0000383
1,.8614343
.1408388,.1213234
6.34e-06,5.46e-06
.0000418,.000036
5.96e-06,5.14e-06
.0000444,.0000383
5.78e-06,4.98e-06
.0000335,.0000288
.0000128,.0000111
.0000444,.0000383
.0000228,.0000197
.0001396,.0001203
8.21e-06,7.07e-06
.0000299,.0000257
.0000222,.0000192
.0002221,.0001914
.0000889,.0000765
.0000444,.0000383
3.21e-06,2.77e-06
.0000127,.0000109
6.18e-06,5.33e-06
.0000889,.0000765
4.04e-06,3.48e-06
.0000111,9.58e-06
4.67e-06,4.03e-06
.0000173,.0000149
.0000141,.0000122
.0000553,.0000476
6.73e-06,5.80e-06
.0000444,.0000383
4.23e-06,3.65e-06
.0000352,.0000303
4.82e-06,4.15e-06
.0000239,.0000206
.000024,.0000207
.000138,.0001189
1.92e-06,1.65e-06
.0000889,.0000765
.0000472,.0000407
.0001575,.0001357
.0000884,.0000761
.0009115,.0007852
.0000444,.0000383
.0000444,.0000383
.0000278,.0000199
.0001428,.0001025
9.93e-06,7.13e-06
.0009994,.0007176
.0000558,.0000401
.0002856,.000205
.0001428,.0001025
.0005711,.00041
.0000243,.0000175
.0001066,.0000765
.0041405,.0029728
.0368361,.026448
.0004283,.0003075
.0019989,.0014352
.000096,.000069
.0009154,.0006572
.337807,.2425425
1,.7179915
.0000242,.0000173
.0001428,.0001025
.0000227,.0000163
.0000726,.0000521
.000022,.0000158
.0001428,.0001025
.0000489,.0000351
.0001428,.0001025
.0001428,.0001025
.0009994,.0007176
.0000313,.0000225
.0001139,.0000817
.0000847,.0000608
.0005711,.00041
.0000641,.000046
.0005711,.00041
.0000123,8.80e-06
.0002856,.000205
.0000236,.0000169
.0001428,.0001025
.0000154,.0000111
.0000424,.0000304
.0000178,.0000128
.0000658,.0000472
.0000538,.0000386
.0002107,.0001513
.0000257,.0000184
.0004283,.0003075
.0000161,.0000116
.0004283,.0003075
.0000184,.0000132
.0000911,.0000654
.0000915,.0000657
.0004283,.0003075
7.31e-06,5.25e-06
.0000672,.0000483
.00018,.0001292
.0001428,.0001025
.000337,.0002419
.0007139,.0005126
.0000636,.0000457
.0010794,.000775
.0000265,.0000218
.000034,.000028
.0008014,.0006592
.0110344,.0090764
3.78e-06,3.11e-06
.000034,.000028
7.56e-06,6.22e-06
.0000567,.0000466
.0000113,9.33e-06
.0000794,.0000653
3.78e-06,3.11e-06
.0005103,.0004198
3.78e-06,3.11e-06
.0000227,.0000187
2.58e-06,2.12e-06
.0000227,.0000187
3.78e-06,3.11e-06
.0000151,.0000124
1,.8225578
.1953836,.1607143
.0000718,.0000591
.0002041,.0001679
.0000378,.0000311
.0002268,.0001866
.0000151,.0000124
.0000832,.0000684
.0000113,9.33e-06
.000034,.000028
.0002079,.000171
.0011,.0009048
.0000151,.0000124
.0001021,.000084
6.02e-06,4.96e-06
.0000151,.0000124
.000034,.000028
.0001399,.000115
.0000945,.0000777
.0003705,.0003047
.0000113,9.33e-06
.0000794,.0000653
6.42e-06,5.28e-06
