dni_ag,dni_na,dni_asym_ag,dni_asym_na,dni_dist_ag,dni_dist_na
1.052882,.7830752,.719462,.720849,.404115,.8723858
1.052882,.7830752,.719462,.720849,.404115,.8723858
.7948081,.8681828,.5693505,.8758326,.4170039,.8765227
1.17991,.8840222,.9877928,.9166478,.4368241,.8826769
1.052882,.7830752,.719462,.720849,.404115,.8723858
1.14382,.839093,.8701971,.8042029,.4407681,.8838732
.9890374,.8260037,.6956669,.8077661,.435199,.8821813
.954662,.9095961,.7887401,.9318676,.4097124,.8741959
1.052882,.7830752,.719462,.720849,.404115,.8723858
.9890374,.8260037,.6956669,.8077661,.435199,.8821813
1.17991,.8840222,.9877928,.9166478,.4368241,.8826769
1.054388,.9903703,.7279516,.9381154,1,1
.7264863,.8205331,.7715604,.7795459,.4544736,.8879608
.7231867,.9171982,.8340985,.9314488,.4996775,.9007388
.6236694,.808666,.6123865,.783904,.4176882,.8767392
.7948081,.8681828,1.109545,.8605999,.4170039,.8765227
.753397,.7869163,.7186787,.718058,.4270253,.8796647
.7948081,.8681828,1.109545,.8605999,.4170039,.8765227
.6236694,.808666,.6123865,.783904,.4176882,.8767392
.6236694,.808666,.6123865,.783904,.4176882,.8767392
.7948081,.8681828,1.109545,.8605999,.4170039,.8765227
1,1,1,1,1,1
.838756,.8862849,.8017104,.8671154,.4400639,.8836603
.7264863,.8205331,.7715604,.7795459,.4544736,.8879608
.7264863,.8205331,.7715604,.7795459,.4544736,.8879608
.7264863,.8205331,.7715604,.7795459,.4544736,.8879608
.753397,.7869163,.7186787,.718058,.4270253,.8796647
.7032141,.9720579,.8218397,.999129,.4575305,.8888581
.7264863,.8205331,.7715604,.7795459,.4544736,.8879608
.838756,.8862849,.8017104,.8671154,.4400639,.8836603
.838756,.8862849,.8017104,.8671154,.4400639,.8836603
.753397,.7869163,.7186787,.718058,.4270253,.8796647
.753397,.7869163,.7186787,.718058,.4270253,.8796647
1,1,1,1,1,1
.7032141,.9720579,.8218397,.999129,.4575305,.8888581
.753397,.7869163,.7186787,.718058,.4270253,.8796647
.7264863,.8205331,.7715604,.7795459,.4544736,.8879608
.6236694,.808666,.6123865,.783904,.4176882,.8767392
.7231867,.9171982,.8340985,.9314488,.4996775,.9007388
.753397,.7869163,.7186787,.718058,.4270253,.8796647
.6236694,.808666,.6123865,.783904,.4176882,.8767392
.7032141,.9720579,.8218397,.999129,.4575305,.8888581
.7513351,.8631855,.7241327,.8104998,1,1
1.118156,.8483741,1.242405,.8238146,.4141888,.8756285
1.108727,.8698963,1.337856,.9029417,.4495634,.8865086
.872143,.8855763,.8959361,.8774375,.3948067,.869328
